run_id,sim_time,pre_time,final_cost,SS_Ca_in_SMC0,SS_Ca_SR0,SS_y0,l_1,l_2,l_3,l_4,l_5,l_m1,l_m2,l_m3,l_m4,l_m5,p_agonist,Ca_E,t1_KCL,t2_KCL,alpha0,alpha1,alpha2,V0,V1,k_ryr0,k_ryr1,k_ryr2,k_ryr3,Vm,km,gca,F,R,T,Jer,Ve,Ke,Vp,Kp,gamma,delta_SMC,k_RyR,k_ipr,min_bound_1,max_bound_1,min_bound_2,max_bound_2,min_bound_3,max_bound_3,min_bound_4,max_bound_4,min_bound_5,max_bound_5,min_bound_6,max_bound_6,min_bound_7,max_bound_7,min_bound_8,max_bound_8,min_bound_9,max_bound_9,min_bound_10,max_bound_10,min_bound_11,max_bound_11,min_bound_12,max_bound_12,min_bound_13,max_bound_13,min_bound_14,max_bound_14,min_bound_15,max_bound_15,min_bound_16,max_bound_16,min_bound_17,max_bound_17,min_bound_18,max_bound_18,min_bound_19,max_bound_19,min_bound_20,max_bound_20,min_bound_21,max_bound_21,min_bound_22,max_bound_22,min_bound_23,max_bound_23,min_bound_24,max_bound_24,min_bound_25,max_bound_25,min_bound_26,max_bound_26,min_bound_27,max_bound_27,min_bound_28,max_bound_28,min_bound_29,max_bound_29,min_bound_30,max_bound_30,min_bound_31,max_bound_31,min_bound_32,max_bound_32,min_bound_33,max_bound_33,min_bound_34,max_bound_34,min_bound_35,max_bound_35,min_bound_36,max_bound_36,min_bound_37,max_bound_37,min_bound_38,max_bound_38
20251004_120345,2002,2,0.002819791,0.288436511,11.8565753,0.665464269,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963629,0.723347909,1.0,-60.0,-61.92426544,0.000720137,1.211529523,0.941575403,23.20753293,-53.11188177,14.80103724,13.44425801,96485.0,8345.0,310.0,0.073779447,1.728827691,0.078936179,4.529094643,0.419395416,43.28427526,0.337944913,33.5836706,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251007_090541,2002,2,0.002819791,0.288436511,11.8565753,0.665464269,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963629,0.723347909,1.0,-60.0,-61.92426544,0.000720137,1.211529523,0.941575403,23.20753293,-53.11188177,14.80103724,13.44425801,96485.0,8345.0,310.0,0.073779447,1.728827691,0.078936179,4.529094643,0.419395416,43.28427526,0.337944913,33.5836706,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251007_221731,2002,2,0.002819791,0.288436511,11.8565753,0.665464269,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963629,0.723347909,1.0,-60.0,-61.92426544,0.000720137,1.211529523,0.941575403,23.20753293,-53.11188177,14.80103724,13.44425801,96485.0,8345.0,310.0,0.073779447,1.728827691,0.078936179,4.529094643,0.419395416,43.28427526,0.337944913,33.5836706,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251010_182950,2002,2,0.002819791,0.288436511,11.8565753,0.665464269,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963629,0.723347909,1.0,-60.0,-61.92426544,0.000720137,1.211529523,0.941575403,23.20753293,-53.11188177,14.80103724,13.44425801,96485.0,8345.0,310.0,0.073779447,1.728827691,0.078936179,4.529094643,0.419395416,43.28427526,0.337944913,33.5836706,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251010_211540,2002,2,0.067807294,0.769645403,33.37596033,0.841468618,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963685,0.769180285,1.0,-60.0,-64.21204415,0.017886092,1.423198756,1.374300362,117.8944893,-51.49697028,12.17955927,12.60609651,96485.0,8345.0,310.0,0.048308964,3.019105963,0.043648756,4.50005699,1.206948711,15.64264061,0.113536901,30.34324214,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251011_001846,2002,2,0.067807294,0.769645403,33.37596033,0.841468618,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963685,0.769180285,1.0,-60.0,-64.21204415,0.017886092,1.423198756,1.374300362,117.8944893,-51.49697028,12.17955927,12.60609651,96485.0,8345.0,310.0,0.048308964,3.019105963,0.043648756,4.50005699,1.206948711,15.64264061,0.113536901,30.34324214,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251011_010130,2002,2,0.067807294,0.769645403,33.37596033,0.841468618,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963685,0.769180285,1.0,-60.0,-64.21204415,0.017886092,1.423198756,1.374300362,117.8944893,-51.49697028,12.17955927,12.60609651,96485.0,8345.0,310.0,0.048308964,3.019105963,0.043648756,4.50005699,1.206948711,15.64264061,0.113536901,30.34324214,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251012_164525,2002,2,0.067807294,0.769645403,33.37596033,0.841468618,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.099963685,0.769180285,1.0,-60.0,-64.21204415,0.017886092,1.423198756,1.374300362,117.8944893,-51.49697028,12.17955927,12.60609651,96485.0,8345.0,310.0,0.048308964,3.019105963,0.043648756,4.50005699,1.206948711,15.64264061,0.113536901,30.34324214,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251013_153438,2002,2,0.012173182,0.246072928,31.30998916,0.629225166,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.081987197,0.960525431,1.0,-80.0,-58.81786819,0.000754184,0.210836472,0.510518932,38.19534385,-51.8463513,10.687289,17.92759695,96485.0,2345.0,310.0,0.115710555,5.439973905,0.173185083,4.555538689,0.590673026,54.99444603,0.005052593,0.500017848,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-80.0,-80.0,-80.4,-42.0,0.00072,0.036,0.0334,1.67,0.05,2.5,3.8,190.0,-60.0,-35.0,1.15,57.5,1.6,80.0,96485.0,96485.0,2345.0,2345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.015,0.3,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
20251013_222446,2002,2,0.02848508,0.482245191,8.004844046,0.768830432,2000.0,1.0,2000.0,1.0,100.0,260.0,1.05,1886.0,0.145,8.2,0.0,1600.0,2.0,1802.0,0.081084212,0.710703645,1.0,-60.0,-65.18452469,0.002022253,0.03427629,0.245488247,3.800003714,-50.89933996,11.52453661,12.50402448,96485.0,8345.0,310.0,0.088787666,4.407885942,0.110860888,4.724056125,0.814471312,12.58596459,0.268256463,16.34999856,5.55,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0,1.0,100.0,100.0,260.0,260.0,1.05,1.05,1886.0,1886.0,0.145,0.145,8.2,8.2,0.0,0.0,1600.0,1600.0,2.0,2.0,1802.0,1802.0,0.005,0.1,0.025,1.25,1.0,1.0,-60.0,-60.0,-80.4,-42.0,0.00072,0.0144,0.0334,0.668,0.05,1.0,3.8,76.0,-60.0,-35.0,1.2,60.0,1.6,80.0,96485.0,96485.0,8345.0,8345.0,310.0,310.0,0.01,0.2,0.45,9.0,0.01,0.2,4.5,45.0,0.4,4.0,5.5,55.0,0.005,0.5,0.5,50.0,5.55,5.55
